CSVv2,OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, mujets, down,1,-2.4,2.4,600,1000,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.10926809906959534 , 
2, mujets, down,0,-2.4,2.4,20,30,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.034475900232791901 , 
2, mujets, down,0,-2.4,2.4,30,50,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.022771842777729034 , 
2, mujets, down,0,-2.4,2.4,50,70,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.021003959700465202 , 
2, mujets, down,0,-2.4,2.4,70,100,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.01710779219865799 , 
2, mujets, down,0,-2.4,2.4,100,140,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.016915079206228256 , 
2, mujets, down,0,-2.4,2.4,140,200,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.016691852360963821 , 
2, mujets, down,0,-2.4,2.4,200,300,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.028313413262367249 , 
2, mujets, down,0,-2.4,2.4,300,600,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.032943140715360641 , 
2, mujets, down,0,-2.4,2.4,600,1000,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.054634049534797668 , 
2, mujets, up,1,-2.4,2.4,20,30,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.068951800465583801 , 
2, mujets, up,1,-2.4,2.4,30,50,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.045543685555458069 , 
2, mujets, up,1,-2.4,2.4,50,70,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.042007919400930405 , 
2, mujets, up,1,-2.4,2.4,70,100,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.034215584397315979 , 
2, mujets, up,1,-2.4,2.4,100,140,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.033830158412456512 , 
2, mujets, up,1,-2.4,2.4,140,200,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.033383704721927643 , 
2, mujets, up,1,-2.4,2.4,200,300,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.056626826524734497 , 
2, mujets, up,1,-2.4,2.4,300,600,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.065886281430721283 , 
